year,month,country,shapeType,shapeGroup,min,max,mean,q1,q2,q3,std,sum,unit,count,cloudFree,date,source_file
2012,1,Angola,ADM0,AGO,0.0,1715.93,0.26,0.18,0.24,0.3,1.574,1556551.0,nW/cm²/sr,5977537.0,3.237,2012-01-01,eoatlas-monthly-nightlight-00009.csv
2012,2,Angola,ADM0,AGO,0.0,233.14,0.176,0.0,0.17,0.23,0.828,1049819.875,nW/cm²/sr,5977537.0,1.533,2012-02-01,eoatlas-monthly-nightlight-00009.csv
2012,3,Angola,ADM0,AGO,0.0,491.36,0.197,0.0,0.23,0.29,0.487,1176871.0,nW/cm²/sr,5977537.0,3.368,2012-03-01,eoatlas-monthly-nightlight-00009.csv
2012,4,Angola,ADM0,AGO,0.0,2970.33,0.398,0.34,0.36,0.39,2.522,2379377.25,nW/cm²/sr,5977537.0,11.874,2012-04-01,eoatlas-monthly-nightlight-00009.csv
2012,5,Angola,ADM0,AGO,0.0,1850.0,0.253,0.18,0.2,0.22,2.045,1512397.75,nW/cm²/sr,5977537.0,13.389,2012-05-01,eoatlas-monthly-nightlight-00009.csv
2012,6,Angola,ADM0,AGO,0.0,869.98,0.229,0.14,0.16,0.18,1.856,1367042.5,nW/cm²/sr,5977537.0,13.262,2012-06-01,eoatlas-monthly-nightlight-00009.csv
2012,7,Angola,ADM0,AGO,0.0,1285.57,0.271,0.14,0.16,0.19,2.503,1617377.125,nW/cm²/sr,5977537.0,14.211,2012-07-01,eoatlas-monthly-nightlight-00009.csv
2012,8,Angola,ADM0,AGO,0.0,970.84,0.247,0.15,0.18,0.21,1.711,1476684.375,nW/cm²/sr,5977537.0,11.323,2012-08-01,eoatlas-monthly-nightlight-00009.csv
2012,9,Angola,ADM0,AGO,0.0,1814.79,0.35,0.24,0.27,0.31,2.25,2092745.5,nW/cm²/sr,5977537.0,8.856,2012-09-01,eoatlas-monthly-nightlight-00009.csv
2012,10,Angola,ADM0,AGO,0.0,1466.23,0.315,0.24,0.3,0.35,0.972,1883843.0,nW/cm²/sr,5977537.0,4.111,2012-10-01,eoatlas-monthly-nightlight-00009.csv
2012,11,Angola,ADM0,AGO,0.0,3331.3,0.284,0.18,0.28,0.36,2.203,1695977.0,nW/cm²/sr,5977537.0,1.969,2012-11-01,eoatlas-monthly-nightlight-00009.csv
2012,12,Angola,ADM0,AGO,0.0,683.61,0.253,0.13,0.24,0.31,1.257,1511581.875,nW/cm²/sr,5977537.0,2.152,2012-12-01,eoatlas-monthly-nightlight-00009.csv
2013,1,Angola,ADM0,AGO,0.0,184.08,0.216,0.06,0.21,0.27,0.863,1289793.0,nW/cm²/sr,5977537.0,2.474,2013-01-01,eoatlas-monthly-nightlight-00009.csv
2013,2,Angola,ADM0,AGO,0.0,2106.86,0.245,0.11,0.24,0.31,1.775,1466597.25,nW/cm²/sr,5977537.0,1.788,2013-02-01,eoatlas-monthly-nightlight-00009.csv
2013,3,Angola,ADM0,AGO,0.0,926.65,0.237,0.17,0.22,0.28,1.277,1417631.125,nW/cm²/sr,5977537.0,3.405,2013-03-01,eoatlas-monthly-nightlight-00009.csv
2013,4,Angola,ADM0,AGO,0.0,3833.19,0.306,0.23,0.25,0.29,2.608,1830510.75,nW/cm²/sr,5977534.0,10.039,2013-04-01,eoatlas-monthly-nightlight-00009.csv
2013,5,Angola,ADM0,AGO,0.0,16935.65,0.236,0.16,0.18,0.21,7.722,1412226.625,nW/cm²/sr,5977537.0,13.051,2013-05-01,eoatlas-monthly-nightlight-00009.csv
2013,6,Angola,ADM0,AGO,0.0,1332.31,0.227,0.13,0.15,0.17,2.48,1359097.125,nW/cm²/sr,5977537.0,14.764,2013-06-01,eoatlas-monthly-nightlight-00009.csv
2013,7,Angola,ADM0,AGO,0.0,4709.58,0.238,0.12,0.14,0.16,4.127,1422077.25,nW/cm²/sr,5977537.0,14.655,2013-07-01,eoatlas-monthly-nightlight-00009.csv
2013,8,Angola,ADM0,AGO,0.0,2245.12,0.275,0.14,0.16,0.19,3.37,1644593.75,nW/cm²/sr,5977537.0,14.793,2013-08-01,eoatlas-monthly-nightlight-00009.csv
2013,9,Angola,ADM0,AGO,0.0,1647.46,0.287,0.17,0.19,0.22,2.23,1715155.5,nW/cm²/sr,5977537.0,10.958,2013-09-01,eoatlas-monthly-nightlight-00009.csv
2013,10,Angola,ADM0,AGO,0.0,2603.48,0.327,0.24,0.27,0.3,2.878,1953330.0,nW/cm²/sr,5977537.0,9.462,2013-10-01,eoatlas-monthly-nightlight-00009.csv
2013,11,Angola,ADM0,AGO,0.0,1548.03,0.361,0.27,0.32,0.38,1.721,2158916.75,nW/cm²/sr,5977537.0,3.585,2013-11-01,eoatlas-monthly-nightlight-00009.csv
2013,12,Angola,ADM0,AGO,0.0,12707.17,0.166,0.0,0.12,0.24,8.545,993822.312,nW/cm²/sr,5977537.0,1.136,2013-12-01,eoatlas-monthly-nightlight-00009.csv
2014,1,Angola,ADM0,AGO,0.0,3797.26,0.252,0.16,0.23,0.28,2.77,1505406.375,nW/cm²/sr,5977537.0,2.813,2014-01-01,eoatlas-monthly-nightlight-00009.csv
2014,2,Angola,ADM0,AGO,0.0,3919.19,0.237,0.12,0.22,0.28,3.627,1416042.875,nW/cm²/sr,5977537.0,2.071,2014-02-01,eoatlas-monthly-nightlight-00009.csv
2014,3,Angola,ADM0,AGO,,,,,,,,,,,,2014-03-01,eoatlas-monthly-nightlight-00009.csv
2014,4,Angola,ADM0,AGO,0.0,41522.922,0.296,0.2,0.24,0.3,17.105,1769636.0,nW/cm²/sr,5977537.0,5.217,2014-04-01,eoatlas-monthly-nightlight-00009.csv
2014,5,Angola,ADM0,AGO,0.0,1287.78,0.229,0.16,0.18,0.21,1.77,1367344.125,nW/cm²/sr,5977537.0,13.607,2014-05-01,eoatlas-monthly-nightlight-00009.csv
2014,6,Angola,ADM0,AGO,0.0,1718.52,0.196,0.09,0.11,0.13,2.785,1173654.875,nW/cm²/sr,5977537.0,14.435,2014-06-01,eoatlas-monthly-nightlight-00009.csv
2014,7,Angola,ADM0,AGO,0.0,1748.48,0.236,0.1,0.12,0.14,3.862,1412101.5,nW/cm²/sr,5977537.0,17.079,2014-07-01,eoatlas-monthly-nightlight-00009.csv
2014,8,Angola,ADM0,AGO,0.0,1071.11,0.291,0.15,0.17,0.2,2.464,1737086.625,nW/cm²/sr,5977537.0,14.435,2014-08-01,eoatlas-monthly-nightlight-00009.csv
2014,9,Angola,ADM0,AGO,0.0,852.22,0.306,0.21,0.24,0.28,1.375,1826913.125,nW/cm²/sr,5977537.0,10.126,2014-09-01,eoatlas-monthly-nightlight-00009.csv
2014,10,Angola,ADM0,AGO,0.0,363.4,0.352,0.27,0.31,0.35,1.19,2104681.25,nW/cm²/sr,5977537.0,6.795,2014-10-01,eoatlas-monthly-nightlight-00009.csv
2014,11,Angola,ADM0,AGO,0.0,1530.59,0.317,0.24,0.3,0.37,1.446,1895757.0,nW/cm²/sr,5977537.0,2.554,2014-11-01,eoatlas-monthly-nightlight-00009.csv
2014,12,Angola,ADM0,AGO,0.0,1272.46,0.239,0.05,0.21,0.29,1.394,1425908.5,nW/cm²/sr,5977537.0,2.454,2014-12-01,eoatlas-monthly-nightlight-00009.csv
2015,1,Angola,ADM0,AGO,0.0,838.19,0.269,0.19,0.25,0.31,1.265,1610620.25,nW/cm²/sr,5977537.0,2.066,2015-01-01,eoatlas-monthly-nightlight-00009.csv
2015,2,Angola,ADM0,AGO,0.0,1055.6,0.284,0.16,0.28,0.35,1.376,1696923.75,nW/cm²/sr,5977537.0,2.942,2015-02-01,eoatlas-monthly-nightlight-00009.csv
2015,3,Angola,ADM0,AGO,0.0,420.51,0.266,0.15,0.22,0.3,1.231,1587877.125,nW/cm²/sr,5977537.0,2.833,2015-03-01,eoatlas-monthly-nightlight-00009.csv
2015,4,Angola,ADM0,AGO,0.0,264.68,0.28,0.21,0.24,0.28,1.077,1674868.125,nW/cm²/sr,5977537.0,7.196,2015-04-01,eoatlas-monthly-nightlight-00009.csv
2015,5,Angola,ADM0,AGO,0.0,607.46,0.195,0.13,0.15,0.17,1.34,1167480.75,nW/cm²/sr,5977537.0,13.463,2015-05-01,eoatlas-monthly-nightlight-00009.csv
2015,6,Angola,ADM0,AGO,0.0,1212.17,0.192,0.08,0.11,0.13,2.56,1145837.875,nW/cm²/sr,5977537.0,13.867,2015-06-01,eoatlas-monthly-nightlight-00009.csv
2015,7,Angola,ADM0,AGO,0.0,1143.75,0.235,0.11,0.13,0.17,2.664,1404972.0,nW/cm²/sr,5977537.0,13.399,2015-07-01,eoatlas-monthly-nightlight-00009.csv
2015,8,Angola,ADM0,AGO,0.0,659.23,0.288,0.14,0.17,0.21,2.006,1720075.75,nW/cm²/sr,5977537.0,14.505,2015-08-01,eoatlas-monthly-nightlight-00009.csv
2015,9,Angola,ADM0,AGO,0.0,825.75,0.334,0.22,0.25,0.3,1.684,1996223.25,nW/cm²/sr,5977537.0,11.78,2015-09-01,eoatlas-monthly-nightlight-00009.csv
2015,10,Angola,ADM0,AGO,0.0,404.95,0.309,0.23,0.27,0.32,0.89,1844609.75,nW/cm²/sr,5977537.0,7.03,2015-10-01,eoatlas-monthly-nightlight-00009.csv
2015,11,Angola,ADM0,AGO,0.0,3347.71,0.318,0.22,0.26,0.32,3.631,1899582.625,nW/cm²/sr,5977537.0,5.366,2015-11-01,eoatlas-monthly-nightlight-00009.csv
2015,12,Angola,ADM0,AGO,0.0,2206.76,0.231,0.0,0.2,0.31,1.9,1382309.375,nW/cm²/sr,5977537.0,1.854,2015-12-01,eoatlas-monthly-nightlight-00009.csv
2016,1,Angola,ADM0,AGO,0.0,4702.15,0.161,0.05,0.13,0.19,3.63,963777.625,nW/cm²/sr,5977537.0,2.378,2016-01-01,eoatlas-monthly-nightlight-00009.csv
2016,2,Angola,ADM0,AGO,0.0,1287.77,0.204,0.09,0.17,0.23,1.563,1217270.125,nW/cm²/sr,5977537.0,2.477,2016-02-01,eoatlas-monthly-nightlight-00009.csv
2016,3,Angola,ADM0,AGO,0.0,284.52,0.207,0.0,0.18,0.3,0.999,1239447.75,nW/cm²/sr,5977537.0,1.154,2016-03-01,eoatlas-monthly-nightlight-00009.csv
2016,4,Angola,ADM0,AGO,0.0,22381.18,0.307,0.2,0.23,0.28,14.054,1834671.125,nW/cm²/sr,5977537.0,6.941,2016-04-01,eoatlas-monthly-nightlight-00009.csv
2016,5,Angola,ADM0,AGO,0.0,37825.73,0.251,0.14,0.17,0.2,24.374,1497788.875,nW/cm²/sr,5977537.0,13.014,2016-05-01,eoatlas-monthly-nightlight-00009.csv
2016,6,Angola,ADM0,AGO,0.0,46522.531,0.258,0.1,0.12,0.15,23.222,1540325.0,nW/cm²/sr,5977537.0,13.715,2016-06-01,eoatlas-monthly-nightlight-00009.csv
2016,7,Angola,ADM0,AGO,0.0,12632.21,0.218,0.06,0.09,0.11,6.966,1306034.125,nW/cm²/sr,5977537.0,14.374,2016-07-01,eoatlas-monthly-nightlight-00009.csv
2016,8,Angola,ADM0,AGO,0.0,2203.79,0.227,0.08,0.11,0.14,2.402,1357896.625,nW/cm²/sr,5977537.0,15.289,2016-08-01,eoatlas-monthly-nightlight-00009.csv
2016,9,Angola,ADM0,AGO,0.0,6294.84,0.279,0.17,0.21,0.24,3.484,1666235.75,nW/cm²/sr,5977537.0,10.375,2016-09-01,eoatlas-monthly-nightlight-00009.csv
2016,10,Angola,ADM0,AGO,0.0,1239.22,0.287,0.21,0.25,0.29,1.432,1714507.125,nW/cm²/sr,5977537.0,6.718,2016-10-01,eoatlas-monthly-nightlight-00009.csv
2016,11,Angola,ADM0,AGO,0.0,35006.43,0.279,0.17,0.21,0.25,26.284,1664923.375,nW/cm²/sr,5977537.0,4.599,2016-11-01,eoatlas-monthly-nightlight-00009.csv
2016,12,Angola,ADM0,AGO,0.0,3147.28,0.154,0.0,0.11,0.2,2.52,918961.562,nW/cm²/sr,5977537.0,1.5,2016-12-01,eoatlas-monthly-nightlight-00009.csv
2017,1,Angola,ADM0,AGO,0.0,2498.64,0.204,0.09,0.18,0.23,2.851,1218383.0,nW/cm²/sr,5977537.0,2.886,2017-01-01,eoatlas-monthly-nightlight-00009.csv
2017,2,Angola,ADM0,AGO,0.0,260.41,0.267,0.17,0.24,0.3,1.2,1597314.375,nW/cm²/sr,5977537.0,2.663,2017-02-01,eoatlas-monthly-nightlight-00009.csv
2017,3,Angola,ADM0,AGO,0.0,916.3,0.267,0.19,0.23,0.27,1.313,1594129.0,nW/cm²/sr,5977537.0,4.779,2017-03-01,eoatlas-monthly-nightlight-00009.csv
2017,4,Angola,ADM0,AGO,0.0,2140.96,0.321,0.23,0.26,0.31,2.672,1919913.625,nW/cm²/sr,5977537.0,8.843,2017-04-01,eoatlas-monthly-nightlight-00009.csv
2017,5,Angola,ADM0,AGO,0.0,4113.96,0.213,0.13,0.16,0.19,3.531,1275707.5,nW/cm²/sr,5977537.0,13.065,2017-05-01,eoatlas-monthly-nightlight-00009.csv
2017,6,Angola,ADM0,AGO,0.0,2153.86,0.17,0.06,0.09,0.12,1.878,1014873.5,nW/cm²/sr,5977537.0,13.779,2017-06-01,eoatlas-monthly-nightlight-00009.csv
2017,7,Angola,ADM0,AGO,0.0,1468.82,0.155,0.04,0.06,0.09,1.963,928935.375,nW/cm²/sr,5977537.0,13.778,2017-07-01,eoatlas-monthly-nightlight-00009.csv
2017,8,Angola,ADM0,AGO,0.0,978.11,0.181,0.07,0.1,0.13,1.526,1084605.125,nW/cm²/sr,5977537.0,13.474,2017-08-01,eoatlas-monthly-nightlight-00009.csv
2017,9,Angola,ADM0,AGO,0.0,1037.57,0.297,0.19,0.22,0.26,1.485,1772664.625,nW/cm²/sr,5977537.0,10.933,2017-09-01,eoatlas-monthly-nightlight-00009.csv
2017,10,Angola,ADM0,AGO,0.0,1028.68,0.355,0.26,0.31,0.35,1.457,2124182.0,nW/cm²/sr,5977537.0,,2017-10-01,eoatlas-monthly-nightlight-00009.csv
2017,11,Angola,ADM0,AGO,0.0,1406.31,0.325,0.24,0.29,0.34,1.927,1942374.75,nW/cm²/sr,5977537.0,,2017-11-01,eoatlas-monthly-nightlight-00009.csv
2017,12,Angola,ADM0,AGO,0.0,3973.6,0.21,0.0,0.17,0.26,2.915,1256350.5,nW/cm²/sr,5977537.0,1.996,2017-12-01,eoatlas-monthly-nightlight-00009.csv
2018,1,Angola,ADM0,AGO,0.0,1166.78,0.24,0.14,0.2,0.27,1.294,1434491.625,nW/cm²/sr,5977537.0,2.966,2018-01-01,eoatlas-monthly-nightlight-00009.csv
2018,2,Angola,ADM0,AGO,0.0,515.88,0.198,0.07,0.18,0.24,1.193,1185545.0,nW/cm²/sr,5977537.0,2.548,2018-02-01,eoatlas-monthly-nightlight-00009.csv
