country,year,tile_id,r0,r1,c0,c1,n_valid_pixels,mean_light,mean_pop,region_type,log_light,log_pop
China,2015,41,0,256,10240,10496,9860,0.21633224189281464,0.00500462343916297,empty_or_rural,0.1958399714655582,0.004992141937435175
China,2015,42,0,256,10496,10752,50333,0.22886542975902557,0.4431229531764984,empty_or_rural,0.2060913288679132,0.3668094827983746
China,2015,43,0,256,10752,11008,59338,0.24429835379123688,3.358199119567871,mixed,0.21857179979868332,1.4720589260632875
China,2015,44,0,256,11008,11264,62219,0.2452831268310547,1.7818583250045776,mixed,0.21936291517196507,1.0231191666130461
China,2015,45,0,256,11264,11520,46559,0.21584737300872803,1.543142557144165,mixed,0.19544126004840856,0.9334005435176601
China,2015,46,0,256,11520,11776,24378,0.21888090670108795,5.1970109939575195,mixed,0.19793314818834526,1.8240670780557762
China,2015,95,256,512,10240,10496,17276,0.15799598395824432,0.24008715152740479,empty_or_rural,0.146690911060372,0.21518166063701932
China,2015,96,256,512,10496,10752,64123,0.1609204262495041,1.3504878282546997,mixed,0.14921316139140287,0.8546228931043348
China,2015,97,256,512,10752,11008,65536,0.17648151516914368,1.4272645711898804,mixed,0.16252821734841483,0.8867649324182435
China,2015,98,256,512,11008,11264,65536,0.18028637766838074,2.517479181289673,mixed,0.1657571019717117,1.2577445913789909
China,2015,99,256,512,11264,11520,65536,0.1794636845588684,4.1377668380737305,mixed,0.16505983054791715,1.6366185177579795
China,2015,100,256,512,11520,11776,64981,0.18268118798732758,1.1284446716308594,empty_or_rural,0.16778405415987044,0.7553915118823783
China,2015,101,256,512,11776,12032,12933,0.17569473385810852,6.299067974090576,mixed,0.16185923572707306,1.9877466652211138
China,2015,148,512,768,9984,10240,6055,0.166534885764122,0.09120634198188782,empty_or_rural,0.15403771838803115,0.0872838200237196
China,2015,149,512,768,10240,10496,61792,0.16607217490673065,3.6832005977630615,mixed,0.15364098558955683,1.543981764595351
China,2015,150,512,768,10496,10752,65536,0.1461159586906433,6.251719951629639,mixed,0.1363787987675605,1.9812386754384164
China,2015,151,512,768,10752,11008,65536,0.13452787697315216,2.1895127296447754,mixed,0.12621659697038237,1.1598681558017299
China,2015,152,512,768,11008,11264,65536,0.1350935697555542,5.476410865783691,mixed,0.12671508784861374,1.8681664781796075
China,2015,153,512,768,11264,11520,65536,0.155125692486763,9.9646577835083,mixed,0.14420916271664677,2.394677171488449
China,2015,154,512,768,11520,11776,65536,0.1592709869146347,2.0140252113342285,mixed,0.1477913479984388,1.1032764649119302
China,2015,155,512,768,11776,12032,47807,0.2455000877380371,9.766716003417969,mixed,0.21953712616412377,2.376459523910804
China,2015,174,768,1024,2816,3072,4265,0.19202378392219543,0.06408286839723587,empty_or_rural,0.1756525213989624,0.062113271718653065
China,2015,175,768,1024,3072,3328,4858,0.1921604573726654,0.01706467755138874,empty_or_rural,0.17576717147361054,0.01692071145663511
China,2015,200,768,1024,9472,9728,32168,0.1481146663427353,0.20811747014522552,empty_or_rural,0.1381211764831539,0.18906333828248403
China,2015,201,768,1024,9728,9984,37633,0.31574735045433044,25.09486961364746,mixed,0.27440483153460343,3.261738728479999
China,2015,202,768,1024,9984,10240,58363,0.15419180691242218,1.7462109327316284,mixed,0.1434003647705068,1.0102221189374372
China,2015,203,768,1024,10240,10496,65536,0.3075503408908844,24.14629364013672,mixed,0.2681554178531596,3.224710515512207
China,2015,204,768,1024,10496,10752,65536,0.1597076952457428,13.090105056762695,mixed,0.14816798650713242,2.6454727820050556
China,2015,205,768,1024,10752,11008,65536,0.09864363819360733,0.42215457558631897,empty_or_rural,0.09407636277741153,0.35217302841727777
China,2015,206,768,1024,11008,11264,65536,0.11916574835777283,0.6551349759101868,empty_or_rural,0.11258354021764128,0.503882561944681
China,2015,207,768,1024,11264,11520,65536,0.16381895542144775,17.515836715698242,mixed,0.15170680063266567,2.9186264045785224
China,2015,208,768,1024,11520,11776,65536,0.15279656648635864,14.887165069580078,mixed,0.14219078728649018,2.765511554913661
China,2015,209,768,1024,11776,12032,65236,0.1492580771446228,8.216018676757812,mixed,0.13911658386712317,2.2209431305094043
China,2015,210,768,1024,12032,12288,36747,0.14594362676143646,9.609350204467773,mixed,0.13622842577496871,2.3617357070621807
China,2015,211,768,1024,12288,12544,24279,0.13737094402313232,4.784185886383057,mixed,0.12871940960253214,1.75512762237308
China,2015,212,768,1024,12544,12800,996,0.17753371596336365,15.454424858093262,mixed,0.1634221800130384,2.800594429374442
China,2015,227,1024,1280,2560,2816,16510,0.15257781744003296,2.7142956256866455,mixed,0.14200101416459956,1.3121890574167052
China,2015,228,1024,1280,2816,3072,52244,0.18997614085674286,6.8143815994262695,mixed,0.173933257222224,2.0559658307906474
China,2015,229,1024,1280,3072,3328,53685,0.2155415266752243,3.2403697967529297,mixed,0.19518967846460133,1.444650481656067
China,2015,230,1024,1280,3328,3584,16596,0.17507028579711914,0.11145645380020142,empty_or_rural,0.1613279635067909,0.10567127578707644
China,2015,231,1024,1280,3584,3840,1491,0.17755751311779022,0.10541168600320816,empty_or_rural,0.1634423891277712,0.10021783210278443
China,2015,253,1024,1280,9216,9472,14716,0.1236894354224205,0.08884409070014954,empty_or_rural,0.11661741028782734,0.0851166663002445
China,2015,254,1024,1280,9472,9728,62970,0.13584701716899872,1.490268588066101,mixed,0.127378643245376,0.9123905713526361
China,2015,255,1024,1280,9728,9984,58874,0.13349826633930206,1.5534213781356812,mixed,0.12530866148858405,0.9374341767884591
China,2015,256,1024,1280,9984,10240,62826,0.12790191173553467,0.9249706864356995,empty_or_rural,0.1203591916135652,0.6549107397981924
China,2015,257,1024,1280,10240,10496,65536,0.16047345101833344,2.980926036834717,mixed,0.14882806927836564,1.3815144648038185
China,2015,258,1024,1280,10496,10752,65536,0.0903129130601883,1.5277150869369507,mixed,0.08646473124457162,0.9273157669810005
China,2015,259,1024,1280,10752,11008,65536,0.13102658092975616,12.6069917678833,mixed,0.12312569900613776,2.6105837612172325
China,2015,260,1024,1280,11008,11264,65536,0.16270986199378967,28.772768020629883,mixed,0.15075336863270694,3.393594150907843
China,2015,261,1024,1280,11264,11520,65536,0.20218801498413086,51.64173889160156,mixed,0.18414324233694038,3.9635093201265077
China,2015,262,1024,1280,11520,11776,65536,0.22458209097385406,56.89101791381836,mixed,0.20259963556628877,4.058562241522752
China,2015,263,1024,1280,11776,12032,65536,0.19408264756202698,29.955123901367188,mixed,0.17737823163855568,3.4325385395917487
China,2015,264,1024,1280,12032,12288,65536,0.09598735719919205,1.9465999603271484,mixed,0.09165565305709349,1.0806519498271747
China,2015,265,1024,1280,12288,12544,65536,0.1048891693353653,11.845762252807617,mixed,0.0997450306953973,2.5530139711762154
China,2015,266,1024,1280,12544,12800,47836,0.12033439427614212,4.488137722015381,mixed,0.1136272070629337,1.7025889852281275
China,2015,268,1024,1280,13056,13312,6955,0.2073819786310196,13.476821899414062,mixed,0.18845436150353384,2.6725488807831885
China,2015,269,1024,1280,13312,13568,24942,0.18875795602798462,14.837782859802246,mixed,0.17290902762308724,2.7623984056173487
China,2015,270,1024,1280,13568,13644,6467,0.2897002100944519,16.927289962768555,mixed,0.2544097960899956,2.8863241307817415
China,2015,279,1280,1536,2048,2304,21874,0.3651007413864136,28.34144401550293,mixed,0.3112282291270897,3.3790009881193797
China,2015,280,1280,1536,2304,2560,18137,0.1897389143705368,6.50714635848999,mixed,0.17373388336318085,2.01585541466963
China,2015,281,1280,1536,2560,2816,40691,0.19399380683898926,5.453599452972412,mixed,0.17730382805493927,1.864638029877455
China,2015,282,1280,1536,2816,3072,65536,0.16582296788692474,2.670640707015991,mixed,0.153427247830786,1.3003662263976294
China,2015,283,1280,1536,3072,3328,65536,0.27090510725975037,11.64645767211914,mixed,0.23972932951434495,2.5373771500395153
China,2015,284,1280,1536,3328,3584,65536,0.20973613858222961,2.629220724105835,mixed,0.1904022685411081,1.289017948675583
China,2015,285,1280,1536,3584,3840,54138,0.18931227922439575,3.32523250579834,mixed,0.1733752234471075,1.464465897504993
China,2015,286,1280,1536,3840,4096,3654,0.18919020891189575,0.5154110193252563,empty_or_rural,0.17327257876776322,0.4156867020508313
China,2015,307,1280,1536,9216,9472,1251,0.16966232657432556,0.05474133789539337,empty_or_rural,0.15671509738831763,0.05329555951681163
China,2015,309,1280,1536,9728,9984,2347,0.12025433033704758,0.0762782171368599,empty_or_rural,0.11355574018617125,0.07350899442945992
China,2015,310,1280,1536,9984,10240,10428,0.12874069809913635,0.1666424423456192,empty_or_rural,0.12110258482840093,0.15412991590793465
China,2015,311,1280,1536,10240,10496,55639,0.12528425455093384,4.034636974334717,mixed,0.11803567445245633,1.6163414231411184
China,2015,312,1280,1536,10496,10752,65536,0.0832354873418808,2.3965039253234863,mixed,0.07995238421777048,1.2227466453451472
China,2015,313,1280,1536,10752,11008,65536,0.14942717552185059,24.925521850585938,mixed,0.13926371003616841,3.2552278831545025
China,2015,314,1280,1536,11008,11264,65536,0.5849100351333618,111.49942016601562,bright_sparse,0.4605276455500987,4.722948067551331
China,2015,315,1280,1536,11264,11520,65536,0.4469303488731384,49.181888580322266,bright_sparse,0.36944431164158,3.9156541763464814
China,2015,316,1280,1536,11520,11776,65536,0.20184701681137085,83.73133850097656,mixed,0.18385955414559796,4.4394855273354095
China,2015,317,1280,1536,11776,12032,65536,0.2763981819152832,114.66666412353516,mixed,0.2440421910361698,4.750712469292021
China,2015,318,1280,1536,12032,12288,65536,0.16696859896183014,26.02440071105957,mixed,0.15440944545468546,3.296740187925448
China,2015,319,1280,1536,12288,12544,65536,0.16143348813056946,29.4550838470459,mixed,0.14965500781819896,3.4162529374301482
China,2015,320,1280,1536,12544,12800,65360,0.5501700639724731,110.3608627319336,bright_sparse,0.43836464360441796,4.7127759437896986
China,2015,321,1280,1536,12800,13056,59271,0.2841512858867645,48.90268325805664,mixed,0.2500980222264283,3.9100747740183186
China,2015,322,1280,1536,13056,13312,63604,0.2626315653324127,23.50431251525879,mixed,0.23319808690216318,3.1988491230917684
China,2015,323,1280,1536,13312,13568,53649,0.18363942205905914,11.239264488220215,mixed,0.16859394789957843,2.504649184446972
China,2015,324,1280,1536,13568,13644,4348,0.1665562093257904,5.593780040740967,mixed,0.1540559976242889,1.8861267866077196
China,2015,332,1536,1792,1792,2048,12076,0.15319772064685822,1.707979679107666,mixed,0.14253871023390124,0.9962028509995934
China,2015,333,1536,1792,2048,2304,64996,0.20091569423675537,12.552212715148926,mixed,0.18308434432818815,2.6065498340047055
China,2015,334,1536,1792,2304,2560,65536,0.40637603402137756,12.444161415100098,bright_sparse,0.34101620714756475,2.598544916269516
China,2015,335,1536,1792,2560,2816,65536,0.40786832571029663,4.264255046844482,bright_sparse,0.3420767346910427,1.660939643997565
China,2015,336,1536,1792,2816,3072,65536,0.20519518852233887,0.3893284499645233,empty_or_rural,0.18664153600113698,0.32882050087600384
China,2015,337,1536,1792,3072,3328,65536,0.159101665019989,0.13789492845535278,empty_or_rural,0.1476452783880977,0.1291800014373783
China,2015,338,1536,1792,3328,3584,65536,0.1677715927362442,0.32548952102661133,empty_or_rural,0.15509731111865213,0.2817818410398058
China,2015,339,1536,1792,3584,3840,64923,0.16009370982646942,2.0858397483825684,mixed,0.14850078618855805,1.1268238240062978
China,2015,340,1536,1792,3840,4096,9676,0.14864665269851685,2.329481601715088,mixed,0.138584425633934,1.2028166167130827
China,2015,361,1536,1792,9216,9472,1253,0.10155941545963287,0.08854120224714279,empty_or_rural,0.09672682630451017,0.08483845329316532
China,2015,362,1536,1792,9472,9728,37295,0.12281233817338943,2.006725788116455,mixed,0.11583655419956913,1.100851708666466
China,2015,363,1536,1792,9728,9984,59704,0.12513533234596252,0.563926100730896,empty_or_rural,0.11790332384010314,0.4471993908347334
China,2015,364,1536,1792,9984,10240,64996,0.12704125046730042,1.7516145706176758,mixed,0.11959583639960357,1.0121878559812127
China,2015,365,1536,1792,10240,10496,64926,0.1384124755859375,6.414280414581299,mixed,0.12963472661077435,2.0034079263199174
China,2015,366,1536,1792,10496,10752,65536,0.13352972269058228,15.743209838867188,mixed,0.12533641266892628,2.817992793327076
China,2015,367,1536,1792,10752,11008,65536,0.34180372953414917,59.699989318847656,mixed,0.2940147756435697,4.105943522099171
China,2015,368,1536,1792,11008,11264,65536,0.20909471809864044,44.22160339355469,mixed,0.18987191273152157,3.811574923840737
China,2015,369,1536,1792,11264,11520,65536,1.6453214883804321,106.45651245117188,bright_sparse,0.972792603625669,4.677086230383288
China,2015,370,1536,1792,11520,11776,65536,0.45538079738616943,124.16918182373047,urban_core,0.3752675827983001,4.829666276798081
China,2015,371,1536,1792,11776,12032,65536,1.9105503559112549,371.2358703613281,urban_core,1.0683421890440818,5.9195277134530615
China,2015,372,1536,1792,12032,12288,65536,0.15079158544540405,38.51481628417969,mixed,0.1404500407510784,3.6766756973782497
China,2015,373,1536,1792,12288,12544,65536,0.19099396467208862,34.130271911621094,mixed,0.1747882229145541,3.559063206402096
China,2015,374,1536,1792,12544,12800,65536,0.23241212964057922,72.05429077148438,mixed,0.20897332998387458,4.291202873932161
China,2015,375,1536,1792,12800,13056,65536,0.26602235436439514,59.69012451171875,mixed,0.2358799810419186,4.10578099144755
China,2015,376,1536,1792,13056,13312,65508,0.23154380917549133,31.712060928344727,mixed,0.20826851177884503,3.4877438456292276
China,2015,377,1536,1792,13312,13568,23323,0.13130970299243927,5.016206741333008,mixed,0.12337599076530126,1.79445695130524
