country,year,tile_id,r0,r1,c0,c1,n_valid_pixels,mean_light,mean_pop,region_type,log_light,log_pop
Morocco,2015,7,0,256,1536,1792,49740,1.9624994993209839,183.41326904296875,urban_core,1.0860333374556603,5.217179266467316
Morocco,2015,8,0,256,1792,2048,26750,0.332174688577652,74.24354553222656,mixed,0.28681271109992507,4.320730126292096
Morocco,2015,9,0,256,2048,2304,26618,1.6747761964797974,108.28666687011719,urban_core,0.9838657119805042,4.693974401191823
Morocco,2015,10,0,256,2304,2560,13038,1.4780173301696777,132.8411102294922,urban_core,0.9074587767941492,4.8966533518435975
Morocco,2015,17,256,512,1280,1536,29153,3.1159472465515137,418.155517578125,urban_core,1.4148690012112222,6.038242014728884
Morocco,2015,18,256,512,1536,1792,65536,0.7618489861488342,137.10386657714844,urban_core,0.5663638179096024,4.9280060584096015
Morocco,2015,19,256,512,1792,2048,65536,0.7977612614631653,137.8865203857422,urban_core,0.5865421471795199,4.933657199592063
Morocco,2015,20,256,512,2048,2304,65536,0.28298187255859375,26.751041412353516,mixed,0.24918695658481013,3.3232733678613715
Morocco,2015,21,256,512,2304,2560,63083,0.5799693465232849,38.15161895751953,mixed,0.45740544591604504,3.667441774264305
Morocco,2015,26,512,768,768,1024,12893,0.7295376062393188,90.62596893310547,urban_core,0.5478540931536696,4.517714735137045
Morocco,2015,27,512,768,1024,1280,56045,2.2190773487091064,310.32464599609375,urban_core,1.1690947808285763,5.740836245518615
Morocco,2015,28,512,768,1280,1536,65536,0.6384524703025818,76.72163391113281,bright_sparse,0.49375218068141724,4.353133647334229
Morocco,2015,29,512,768,1536,1792,65536,0.2892477810382843,36.197105407714844,mixed,0.2540589328214345,3.616230946631051
Morocco,2015,30,512,768,1792,2048,65536,0.2396014779806137,19.106611251831055,mixed,0.21478993923520945,3.001048678984908
Morocco,2015,31,512,768,2048,2304,65536,0.14254888892173767,5.32291841506958,mixed,0.13326163404947017,1.8441808761100418
Morocco,2015,32,512,768,2304,2560,65536,0.16019463539123535,2.4578256607055664,empty_or_rural,0.14858778017362684,1.2406399697685175
Morocco,2015,33,512,768,2560,2712,12322,0.12815219163894653,0.8944175839424133,empty_or_rural,0.12058106564049056,0.6389114477286676
Morocco,2015,36,768,1024,512,768,808,4.395888328552246,184.1746826171875,urban_core,1.68563724290383,5.221299609936429
Morocco,2015,37,768,1024,768,1024,52124,0.4526436924934387,79.17666625976562,mixed,0.37338513255723255,4.384232528147988
Morocco,2015,38,768,1024,1024,1280,65536,0.9957980513572693,121.57388305664062,urban_core,0.6910439960958524,4.8087139751697805
Morocco,2015,39,768,1024,1280,1536,65536,0.5439587831497192,82.1452407836914,mixed,0.4343497563950524,4.420588967484826
Morocco,2015,40,768,1024,1536,1792,65536,0.15938523411750793,18.01226806640625,mixed,0.14788989404586866,2.9450844585054146
Morocco,2015,41,768,1024,1792,2048,65536,0.24094034731388092,25.068729400634766,mixed,0.21586943682693038,3.2607364887689827
Morocco,2015,42,768,1024,2048,2304,48369,0.12786169350147247,3.362293004989624,mixed,0.12032353341429904,1.4729978376898396
