Country,Year,R2,Beta (Pop),Intercept
Brazil,2014,0.9362037558862722,-0.0022789286411518117,0.2682498230844969
Brazil,2015,0.9380780783233521,0.01875282655561139,0.22262039481894141
Brazil,2016,0.938394371028572,0.013997232262707902,0.2230438714891499
Brazil,2017,0.9343812708693945,0.04210062269347149,0.26990068040226756
Brazil,2018,0.9367615542063366,0.055635999947391324,0.21882830735526504
Brazil,2019,0.9380207054730971,0.000537757144051576,0.3513116611403082
Brazil,2020,0.9312855155396803,0.010220805544144257,0.3816713450752919
Brazil,2021,0.9349738705122482,0.013242086086090454,0.37908930877605695
Brazil,2022,0.9382252048116733,0.012548179686522373,0.38311824676145967
Brazil,2023,0.9405817250630544,0.03904093451434454,0.3536650145345316
China,2014,0.8326692352330823,0.01824120137173589,0.38048887922377383
China,2015,0.8346449853745378,0.012000047294181042,0.38841771383191714
China,2016,0.8420109153386068,0.005628311166431376,0.40351345097318314
China,2017,0.8451340658574739,-0.002494315673879449,0.5636545864772736
China,2018,0.8611288244190018,0.01368548429750354,0.5009903214225525
China,2019,0.8678075123449207,0.029127111124368103,0.4597299827705385
China,2020,0.8679666575268593,-0.04958923321679529,0.832737208074886
China,2021,0.8774661404484092,0.03176313329464531,0.5275179971389616
China,2022,0.8732658812299153,0.031943066995324294,0.5402445007395498
China,2023,0.8788688668510354,0.0297004803079421,0.6206607165463206
Morocco,2014,0.8738810161018454,0.2067741353462398,-0.4312333909189797
Morocco,2015,0.8718194835829175,0.2188708818538289,-0.4590220195381979
Morocco,2016,0.9056949462970288,0.2291050319725725,-0.4911765026212489
Morocco,2017,0.9253412994130784,0.23583912900895246,-0.3879054839559176
Morocco,2018,0.9245061239817007,0.22706056664217728,-0.3596348057487347
Morocco,2019,0.9295685150147679,0.24000888380963545,-0.38963068920861543
Morocco,2020,0.9353287414100003,0.2369199083738053,-0.3309079957574431
Morocco,2021,0.9323215420047068,0.2335043613060514,-0.29573152036439576
Morocco,2022,0.9367349345521556,0.24143749864280162,-0.3224673444528835
Morocco,2023,0.9340532997115262,0.23847450945815732,-0.2747087127598483
